CAS,name,Purity,Density g/ml,V/ul,loading solvent,Volume of loading solvent/ul,PE/EA,Flow mL/min,Ending time,column_specs,t1,t2,smiles,verified t1,verified t2
515-40-2,Neophyl chloride,0.98,1.047,100,PE,300,0/1,10,2023-08-20_11-36-06.xlsx,Silica-CS 4g+4g,943,1379,CC(C)(CCl)C1=CC=CC=C1,943,1379
515-40-2,Neophyl chloride,0.98,1.047,100,PE,300,1/1,10,2023-08-20_11-40-22.xlsx,Silica-CS 4g+4g,1120,1534,CC(C)(CCl)C1=CC=CC=C1,1120,1534
515-40-2,Neophyl chloride,0.98,1.047,100,PE,300,2/1,10,2023-08-20_11-44-38.xlsx,Silica-CS 4g+4g,1167,1511,CC(C)(CCl)C1=CC=CC=C1,1167,1511
515-40-2,Neophyl chloride,0.98,1.047,100,PE,300,5/1,10,2023-08-20_11-48-58.xlsx,Silica-CS 4g+4g,1176,1564,CC(C)(CCl)C1=CC=CC=C1,1176,1564
515-40-2,Neophyl chloride,0.98,1.047,100,PE,300,10/1,10,2023-08-20_11-53-29.xlsx,Silica-CS 4g+4g,1229,1671,CC(C)(CCl)C1=CC=CC=C1,1229,1671
515-40-2,Neophyl chloride,0.98,1.047,100,PE,300,20/1,10,2023-08-20_11-58-05.xlsx,Silica-CS 4g+4g,1249,1728,CC(C)(CCl)C1=CC=CC=C1,1249,1728
515-40-2,Neophyl chloride,0.98,1.047,100,PE,300,50/1,10,2023-08-20_12-02-47.xlsx,Silica-CS 4g+4g,1255,1791,CC(C)(CCl)C1=CC=CC=C1,1255,1791
122-97-4,3-Phenyl-1-propanol,0.98,1.001,100,PE,300,0/1,10,2023-08-20_12-28-26.xlsx,Silica-CS 4g+4g,1345,2042,C1=CC=C(C=C1)CCCO,1345,2042
122-97-4,3-Phenyl-1-propanol,0.98,1.001,100,PE,300,1/1,10,2023-08-20_12-35-17.xlsx,Silica-CS 4g+4g,1931,3051,C1=CC=C(C=C1)CCCO,1931,3051
122-97-4,3-Phenyl-1-propanol,0.98,1.001,100,PE,300,2/1,10,2023-08-20_12-45-30.xlsx,Silica-CS 4g+4g,3640,5058,C1=CC=C(C=C1)CCCO,3640,5058
122-97-4,3-Phenyl-1-propanol,0.98,1.001,100,PE,300,5/1,10,2023-08-20_13-09-32.xlsx,Silica-CS 4g+4g,9770,13297,C1=CC=C(C=C1)CCCO,9770,13297
637-59-2,1-Bromo-3-phenylpropane,0.97,1.31,100,PE,300,0/1,10,2023-08-20_13-14-55.xlsx,Silica-CS 4g+4g,1189,1999,C1=CC=C(C=C1)CCCBr,1189,1999
637-59-2,1-Bromo-3-phenylpropane,0.97,1.31,100,PE,300,1/1,10,2023-08-20_13-19-11.xlsx,Silica-CS 4g+4g,1124,1528,C1=CC=C(C=C1)CCCBr,1124,1528
637-59-2,1-Bromo-3-phenylpropane,0.97,1.31,100,PE,300,2/1,10,2023-08-20_13-28-30.xlsx,Silica-CS 4g+4g,1002,1542,C1=CC=C(C=C1)CCCBr,1002,1542
637-59-2,1-Bromo-3-phenylpropane,0.97,1.31,100,PE,300,5/1,10,2023-08-20_13-33-01.xlsx,Silica-CS 4g+4g,1216,1672,C1=CC=C(C=C1)CCCBr,1216,1672
637-59-2,1-Bromo-3-phenylpropane,0.97,1.31,100,PE,300,10/1,10,2023-08-20_13-37-43.xlsx,Silica-CS 4g+4g,1279,1779,C1=CC=C(C=C1)CCCBr,1279,1779
637-59-2,1-Bromo-3-phenylpropane,0.97,1.31,100,PE,300,20/1,10,2023-08-20_13-42-34.xlsx,Silica-CS 4g+4g,1326,1857,C1=CC=C(C=C1)CCCBr,1326,1857
637-59-2,1-Bromo-3-phenylpropane,0.97,1.31,100,PE,300,50/1,10,2023-08-20_13-47-35.xlsx,Silica-CS 4g+4g,1367,1968,C1=CC=C(C=C1)CCCBr,1367,1968
104-52-9,1-Chloro-3-phenylpropane,0.99,1.08,100,PE,300,0/1,10,2023-08-20_13-59-33.xlsx,Silica-CS 4g+4g,963,1640,C1=CC=C(C=C1)CCCCl,963,1640
104-52-9,1-Chloro-3-phenylpropane,0.99,1.08,100,PE,300,1/1,10,2023-08-20_14-03-54.xlsx,Silica-CS 4g+4g,2872,2866,C1=CC=C(C=C1)CCCCl,2872,2866
104-52-9,1-Chloro-3-phenylpropane,0.99,1.08,100,PE,300,2/1,10,2023-08-20_14-08-25.xlsx,Silica-CS 4g+4g,1177,1658,C1=CC=C(C=C1)CCCCl,1177,1658
